,AU,SO,copyright,title,year
127,"Wu, XH|Hong, XL|Cai, YC|Luo, ZY|Cheng, CK|Gu, J|Dai, W",IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,,Area minimization of power distribution network using efficient nonlinear programming techniques,2004
128,"Jabornig, S|Rauch, W",WATER SCIENCE AND TECHNOLOGY,,Modelling of moving bed biofilm membrane reactors (MBBMR) for on-site greywater treatment,2015
129,"Kioumourtzoglou, MA|Coull, BA|Dominici, F|Koutrakis, P|Schwartz, J|Suh, H",JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,,"The impact of source contribution uncertainty on the effects of source-specific PM2.5 on hospital admissions: A case study in Boston, MA",2014
130,"Yavuz, M",INTERNATIONAL JOURNAL OF MINING RECLAMATION AND ENVIRONMENT,,The application of the analytic hierarchy process (AHP) and Yager's method in underground mining method selection problem,2015
131,"Kim, SB|Jo, KH|Kim, DJ|Jury, WA",HYDROLOGICAL PROCESSES," Copyright (C) 2004 John Wiley Sons, Ltd.",Determination of two-dimensional laboratory-scale dispersivities,2004
132,"Rene, ER|Joo, KS|Park, HS",JOURNAL OF ENVIRONMENTAL INFORMATICS,,Experimental Results and Neural Prediction of Sequencing Batch Reactor Performance under Different Operational Conditions,2008
133,"Lee, KK|Suk, H|Choi, SI|Lee, CH|Chung, SY",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,,Numerical evaluation of landfill stabilization by leachate circulation,2001
134,"Haile, AT|Rientjes, T|Gieske, A|Jetten, V|Gebremichael, M",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Satellite remote sensing and conceptual cloud modeling for convective rainfall simulation,2011
135,"Clement, A|Soize, C|Yvonnet, J",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2012 Elsevier B.V. All rights reserved.,Uncertainty quantification in computational stochastic multiscale analysis of nonlinear elastic materials,2013
136,"Troin, M|Vallet-Coulomb, C|Piovano, E|Sylvestre, F",JOURNAL OF HYDROLOGY, (C) 2012 Elsevier B.V. All rights reserved.,"Rainfall-runoff modeling of recent hydroclimatic change in-a subtropical lake catchment: Laguna Mar Chiquita, Argentina",2012
137,"Hegenderfer, J|Atamturktur, S",COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,,Prioritization of Code Development Efforts in Partitioned Analysis,2013
138,"Bigum, M|Damgaard, A|Scheutz, C|Christensen, TH",RESOURCES CONSERVATION AND RECYCLING, (C) 2017 Elsevier B.V. All rights reserved.,"Environmental impacts and resource losses of incinerating misplaced household special wastes (WEEE, batteries, ink cartridges and cables)",2017
139,"Passuello, A|Cadiach, O|Perez, Y|Schuhmacher, M",ENVIRONMENT INTERNATIONAL, Elsevier Ltd. All rights reserved.,A spatial multicriteria decision making tool to define the best agricultural areas for sewage sludge amendment,2012
140,"Liu, JK|Ma, YS",ADVANCES IN ENGINEERING SOFTWARE, Elsevier Ltd. All rights reserved.,A survey of manufacturing oriented topology optimization methods,2016
141,"Wilson, D|Moore, I|Filion, Y",URBAN WATER JOURNAL,,Using sensitivity analysis to identify the critical factors that lower the factor of safety of large-diameter cast iron mains,2017
142,"Webster, M|Forest, C|Reilly, J|Babiker, M|Kicklighter, D|Mayer, M|Prinn, R|Sarofim, M|Sokolov, A|Stone, P|Wang, C",CLIMATIC CHANGE,,Uncertainty analysis of climate change and policy response,2003
143,"Ma, S|Jiang, J|Huang, YY|Shi, Z|Wilson, RM|Ricciuto, D|Sebestyen, SD|Hanson, PJ|Luo, YQ",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,,Data-Constrained Projections of Methane Fluxes in a Northern Minnesota Peatland in Response to Elevated CO2 and Warming,2017
144,"Machiwal, D|Jha, MK",ENVIRONMENTAL EARTH SCIENCES,,"Exploring hydrogeology and groundwater dynamics in a lateritic terrain of West Bengal, India, under limited data conditions",2016
145,"Hanrahan, G|Gledhill, M|House, WA|Worsfold, PJ",JOURNAL OF ENVIRONMENTAL QUALITY,,"Phosphorus loading in the Frome catchment, UK: Seasonal refinement of the coefficient modeling approach",2001
146,"Kang, DS|Pasha, MFK|Lansey, K",URBAN WATER JOURNAL,,Approximate methods for uncertainty analysis of water distribution systems,2009
147,"Gu, JJ|Li, M|Guo, P|Huang, GH",WATER RESOURCES MANAGEMENT,,Risk Assessment for Ecological Planning of Arid Inland River Basins Under Hydrological and Management Uncertainties,2016
148,"Chen, Y|Morita, H|Zhu, J",INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,,Context-dependent DEA with an application to Tokyo public libraries,2005
149,"Papoutsis-Kiachagias, EM|Kyriacou, SA|Giannakoglou, KC",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2014 Elsevier B.V. All rights reserved.,The continuous adjoint method for the design of hydraulic turbomachines,2014
150,"Schwaller, J|van Zyl, JE|Kabaasha, AM",WATER SCIENCE AND TECHNOLOGY-WATER SUPPLY,,Characterising the pressure-leakage response of pipe networks using the FAVAD equation,2015
151,"Saltelli, A|D'Hombres, B",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS, Elsevier Ltd. All rights reserved.,Sensitivity analysis didn't help. A practitioner's critique of the Stern review,2010
152,"Papalexandrou, MA|Pilavachi, PA|Chatzimouratidis, AI",PROCESS SAFETY AND ENVIRONMENTAL PROTECTION, Published by Elsevier B.V All rights reserved.,Evaluation of liquid bio-fuels using the Analytic Hierarchy Process,2008
153,"Rea, G|Paton-Walsh, C|Turquety, S|Cope, M|Griffith, D",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Impact of the New South Wales fires during October 2013 on regional air quality in eastern Australia,2016
154,"Sala, R|Baldanzini, N|Pierini, M",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Representative surrogate problems as test functions for expensive simulators in multidisciplinary design optimization of vehicle structures,2016
155,"Thewys, T|Kuppens, T",INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,,Economics of willow pyrolysis after phytoextraction,2008
156,"Sinha, K",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Reliability-based multiobjective optimization for automotive crashworthiness and occupant safety,2007
157,"Li, SG|McLaughlin, D|Liao, HS",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,A computationally practical method for stochastic groundwater modeling,2003
158,"Lee, HM|Chang, MB|Wei, TC",OZONE-SCIENCE & ENGINEERING,,Kinetic modeling of ozone generation via dielectric barrier discharges,2004
159,"Lacasta, A|Garcia-Navarro, P",COMPUTERS & FLUIDS, Elsevier Ltd. All rights reserved.,A GPU accelerated adjoint-based optimizer for inverse modeling of the two-dimensional shallow water equations,2016
160,"Chastaing, G|Gamboa, F|Prieur, C",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,Generalized Sobol sensitivity indices for dependent variables: numerical methods,2015
161,"Jakeman, J|Eldred, M|Xiu, DB",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2010 Elsevier Inc. All rights reserved.,Numerical approach for quantification of epistemic uncertainty,2010
162,"Lisboa, EG|Blanco, CJC|Maia, ROP|Bello, LAL",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,,A stochastic estimation of sediment production in an urban catchment using the USLE model,2017
163,"Muma, M|Gumiere, SJ|Rousseau, AN",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,,"Comprehensive analysis of the CATHY model sensitivity to soil hydrodynamic properties of a tile-drained, agricultural micro-watershed",2014
164,"Manz, BJ|Rodriguez, JP|Maksimovic, C|McIntyre, N",WATER SCIENCE AND TECHNOLOGY,,Impact of rainfall temporal resolution on urban water quality modelling performance and uncertainties,2013
165,"Kah, M|Brown, CD",WATER SCIENCE AND TECHNOLOGY,,Sensitivity analysis for the Simple Treat model to simulate fate of chemicals in sewage treatment plants,2011
166,"Yu, Y|Kwak, BM",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Design sensitivity analysis of acoustical damping and its application to design of musical bells,2011
167,"Lee, MH|Lee, JS|Lee, JY|Kim, YH|Park, YS|Lee, KM",SUSTAINABILITY,,Uncertainty Analysis of a GHG Emission Model Output Using the Block Bootstrap and Monte Carlo Simulation,2017
168,"Verdu, F|Villacampa, Y",ADVANCES IN ENGINEERING SOFTWARE, (c) 2007 Published by Elsevier Ltd.,A computational algorithm for the multiple generation of nonlinear mathematical models and stability study,2008
169,"Gunnarsdottir, MJ|Gardarsson, SM|Andradottir, HO",HYDROLOGY RESEARCH,,"Microbial contamination in groundwater supply in a cold climate and coarse soil: case study of norovirus outbreak at Lake Myvatn, Iceland",2013
170,"Bedos, C|Genermont, S|Le Cadre, E|Garcia, L|Barriuso, E|Cellier, P",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Modelling pesticide volatilization after soil application using the mechanistic model Volt'Air,2009
171,"Melese, Y|Heijnen, P|Stikkelman, R|Herder, P",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,,An approach for flexible design of infrastructure networks via a risk sharing contract: The case of CO2 transport infrastructure,2017
172,"Hens, N|Aerts, M|Molenberghs, G|Thijs, H|Verbeke, G",COMPUTATIONAL STATISTICS & DATA ANALYSIS, (C) 2004 Elsevier B.V. All rights reserved.,Kernel weighted influence measures,2005
173,"Yang, ZJ|Chen, X|Kelly, R",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2011 John Wiley & Sons, Ltd.",A topological optimization approach for structural design of a high-speed low-load mechanism using the equivalent static loads method,2012
174,"Opitz, B|Drochner, A|Vogel, H|Votsmeier, M",APPLIED CATALYSIS B-ENVIRONMENTAL, (C) 2013 Elsevier B.V. All rights reserved.,An experimental and simulation study on the cold start behaviour of particulate filters with wall integrated three way catalyst,2014
175,"Yassin, F|Razavi, S|Wheater, H|Sapriza-Azuri, G|Davison, B|Pietroniro, A",HYDROLOGICAL PROCESSES,,Enhanced identification of a hydrologic model using streamflow and satellite water storage data: A multicriteria sensitivity analysis and optimization approach,2017
176,"Lin, TY",APPLIED MATHEMATICAL MODELLING, (C) 2010 Elsevier Inc. All rights reserved.,An economic order quantity with imperfect quality and quantity discounts,2010
177,"Misra, AK|Verma, M",MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE,,Modeling the impact of mitigation options on methane abatement from rice fields,2014
178,"Krewski, D|Burnett, RT|Goldberg, MS|Hoover, BK|Siemiatycki, J|Jerrett, M|Abrahamowicz, M|White, WH",JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,,Overview of the reanalysis of the Harvard Six Cities Study and American Cancer Society Study of particulate air pollution and mortality,2003
179,"Chen, T|Liu, XM|Li, X|Zhao, KL|Zhang, JB|Xu, JM|Shi, JC|Dahlgren, RA",ENVIRONMENTAL POLLUTION, Elsevier Ltd. All rights reserved.,"Heavy metal sources identification and sampling uncertainty analysis in a field-scale vegetable soil of Hangzhou, China",2009
180,"Dubus, IG|Janssen, PHM",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,,Issues of replicability in Monte Carlo modeling: A case study with a pesticide leaching model,2003
181,"Kavetski, D|Kuczera, G|Franks, SW",JOURNAL OF HYDROLOGY, Elsevier Ltd. All rights reserved.,Calibration of conceptual hydrological models revisited: 1. Overcoming numerical artefacts,2006
182,"Bussi, G|Janes, V|Whitehead, PG|Dadson, SJ|Holman, IP",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2017 Elsevier B.V. All rights reserved.,Dynamic response of land use and river nutrient concentration to long-term climatic changes,2017
183,"Castoldi, N|Bechini, L|Stein, A",ECOLOGICAL INDICATORS, Elsevier Ltd. All rights reserved.,Evaluation of the spatial uncertainty of agro-ecological assessments at the regional scale: The phosphorus indicator in northern Italy,2009
184,"Lee, S|Hong, SM|Jung, HS",SUSTAINABILITY,,"A Support Vector Machine for Landslide Susceptibility Mapping in Gangwon Province, Korea",2017
185,"Getu, M|Mahadzir, S|Lee, M",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Profit optimization for chemical process plant based on a probabilistic approach by incorporating material flow uncertainties,2013
186,"Raul, SK|Panda, SN",WATER RESOURCES MANAGEMENT,,Simulation-Optimization Modeling for Conjunctive Use Management under Hydrological Uncertainty,2013
187,"Kirsch, U|Papalambros, PY",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2001 Elsevier Science B.V. All rights reserved.,Accurate displacement derivatives for structural optimization using approximate reanalysis,2001
188,"Malago, A|Pagliero, L|Bouraoui, F|Franchini, M",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,,Comparing calibrated parameter sets of the SWAT model for the Scandinavian and Iberian peninsulas,2015
189,"Blumensaat, F|Staufer, P|Heusch, S|Reussner, F|Schutze, M|Seiffert, S|Gruber, G|Zawilski, M|Rieckermann, J",WATER SCIENCE AND TECHNOLOGY,,Water quality-based assessment of urban drainage impacts in Europe - where do we stand today?,2012
190,"Du, LM|Guo, J|Wei, C",RESOURCES CONSERVATION AND RECYCLING,,Impact of information feedback on residential electricity demand in China,2017
191,"Lang, JL|Cheng, SY|Zhou, Y|Zhang, YL|Wang, G",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2014 Elsevier B.V. All rights reserved.,"Air pollutant emissions from on-road vehicles in China, 1999-2011",2014
192,"Manomaiphiboon, K|Russell, AG",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Effects of uncertainties in parameters of a Lagrangian particle model on mean ground-level concentrations under stable conditions,2004
193,"Nakhaei, N|Etemad-Shahidi, A",JOURNAL OF HYDROINFORMATICS,,Applying Monte Carlo and classification tree sensitivity analysis to the Zayandehrood River,2012
194,"Thupaki, P|Phanikumar, MS|Beletsky, D|Schwab, DJ|Nevers, MB|Whitman, RL",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Budget Analysis of Escherichia coli at a Southern Lake Michigan Beach,2010
195,"Juston, J|Seibert, J|Johansson, PO",HYDROLOGICAL PROCESSES," Copyright (C) 2009 John Wiley & Sons, Ltd.",Temporal sampling strategies and uncertainty in calibrating a conceptual hydrological model for a small boreal catchment,2009
196,"Ginsbourger, D|Baccou, J|Chevalier, C|Perales, F|Garland, N|Monerie, Y",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,Bayesian Adaptive Reconstruction of Profile Optima and Optimizers,2014
197,"Najah, A|El-Shafie, A|Karim, OA|Jaafar, O",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Integrated versus isolated scenario for prediction dissolved oxygen at progression of water quality monitoring stations,2011
198,"Craun, GF|Frost, FJ",INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,,Possible information bias in a waterborne outbreak investigation,2002
199,"Ferreira, S|Moro, M",JOURNAL OF ENVIRONMENTAL MANAGEMENT, Elsevier Ltd. All rights reserved.,"Constructing genuine savings indicators for Ireland, 1995-2005",2011
200,"Liu, XY|Lee, J|Kitanidis, PK|Parker, J|Kim, U",WATER RESOURCES MANAGEMENT,,Value of Information as a Context-Specific Measure of Uncertainty in Groundwater Remediation,2012
201,"Jung, DB|Cho, YS|Kim, IS|Lee, JY|Kim, YP",AEROSOL AND AIR QUALITY RESEARCH,,Impact of Energy Consumption in Northeast Asia to the Particulate PAHs Levels and Composition at Seoul,2015
202,"Chen, CF|Lin, JY|Kang, SF|Lee, YJ|Yang, CH",ENVIRONMENTAL ENGINEERING SCIENCE,,Predicting the Long-Term Performance of a Structural Best Management Practice with the BMP ToolBox Model,2010
203,"Xu, XX|Xiao, YN|Cheke, RA",APPLIED MATHEMATICAL MODELLING, (C) 2014 Elsevier Inc. All rights reserved.,Models of impulsive culling of mosquitoes to interrupt transmission of West Nile virus to birds,2015
204,"Li, LJ|Jiang, DJ|Hou, XY|Li, JY",HYDROLOGICAL PROCESSES," Copyright (c) 2012 John Wiley & Sons, Ltd.","Simulated runoff responses to land use in the middle and upstream reaches of Taoerhe River basin, Northeast China, in wet, average and dry years",2013
205,"Umesha, PK|Venuraju, MT|Hartmann, D|Leimbach, KR",JOURNAL OF COMPUTING IN CIVIL ENGINEERING,,Parallel computing techniques for sensitivity analysis in optimum structural design,2007
206,"Kebede, S|Admasu, G|Travi, Y",ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,,"Estimating ungauged catchment flows from Lake Tana floodplains, Ethiopia: an isotope hydrological approach",2011
207,"Srinivasaiah, HC|Bhat, N",IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,,Mixed-mode simulation approach to characterize the circuit delay sensitivity to implant dose variations,2003
208,"Zhu, JT",HYDROGEOLOGY JOURNAL,,Sensitivity of advective travel time of contaminants to correlated formation porosities,2012
209,"Zheng, C|Atkins, DC|Zhou, XH|Rhew, IC",MULTIVARIATE BEHAVIORAL RESEARCH,,Causal Models for Mediation Analysis: An Introduction to Structural Mean Models,2015
210,"Bhattacharyya, P|Bhatt, VK|Mandal, D",CATENA, (C) 2007 Elsevier B.V. All rights reserved.,Soil loss tolerance limits for planning of soil conservation measures in Shivalik-Himalayan region of India,2008
211,"Digar, A|Cohan, DS|Bell, ML",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Uncertainties Influencing Health-Based Prioritization of Ozone Abatement Options,2011
212,"Assassa, F|Marquardt, W",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Optimality-based grid adaptation for input-affine optimal control problems,2016
213,"Scott, TRD|Vare, VA",MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,,"Sensitivity analysis of a novel five-degrees-of-freedom user command controller in people with spinal cord injury and non-injured for full upper extremity neuroprosthesis, wearable powered orthoses and prosthetics",2015
214,"Bhander, GS|Hauschild, MZ|Christensen, TH",ENVIRONMENTAL PROGRESS," (c) 2008 American Institute of Chemical Engineers Environ Prog, 27: 133-142, 2008.",Waste management modeling with PC-based model - EASEWASTE,2008
215,"Audouze, C|De Vuyst, F|Nair, PB",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (c) 2009 John Wiley & Sons, Ltd.",Reduced-order modeling of parameterized PDEs using time-space-parameter principal component analysis,2009
216,"Guo, L|Jury, WA|Wagenet, RJ|Flury, M",JOURNAL OF CONTAMINANT HYDROLOGY, (C) 2000 Elsevier Science B.V. All rights reserved.,Dependence of pesticide degradation on sorption: nonequilibrium model and application to soil reactors,2000
